buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 234, reward:-14.592316798071234,unbalance:953.7153227700619,buffer_length: 34000
curren epsiode is 235, reward:-7.084894744894088,unbalance:406.14766083619776,buffer_length: 34000
curren epsiode is 236, reward:-24.416046367624713,unbalance:1763.9563162257223,buffer_length: 34000
curren epsiode is 237, reward:-14.637290288423936,unbalance:908.7522303932595,buffer_length: 34000
curren epsiode is 238, reward:-7.749138026322904,unbalance:360.52797619050455,buffer_length: 34000
curren epsiode is 239, reward:-20.365077442490374,unbalance:1605.6774281697149,buffer_length: 34000
curren epsiode is 240, reward:-3.941837995463376,unbalance:83.99248280814956,buffer_length: 34000
curren epsiode is 241, reward:-7.461404514027091,unbalance:182.78559246992785,buffer_length: 35000
curren epsiode is 242, reward:-9.553143464266633,unbalance:375.0903673058953,buffer_length: 35000
curren epsiode is 243, reward:-8.216476193457057,unbalance:389.2141631210482,buffer_length: 35000
curren epsiode is 244, reward:-23.715032780423066,unbalance:1856.178685998948,buffer_length: 35000
curren epsiode is 245, reward:-4.1836149451097375,unbalance:196.55025150200458,buffer_length: 35000
curren epsiode is 246, reward:-20.73205087556116,unbalance:1408.7206616258848,buffer_length: 35000
curren epsiode is 247, reward:-11.485448950435705,unbalance:704.3485621923625,buffer_length: 35000
curren epsiode is 248, reward:-7.203682826091297,unbalance:330.1604774958965,buffer_length: 35000
curren epsiode is 249, reward:-22.064555863945625,unbalance:1727.3777558510808,buffer_length: 35000
curren epsiode is 250, reward:-7.952045173119959,unbalance:339.97107743266116,buffer_length: 35000
curren epsiode is 251, reward:-2.8670162517182445,unbalance:94.49059787179189,buffer_length: 36000
curren epsiode is 252, reward:-2.741458995939953,unbalance:5.53308484136295,buffer_length: 36000
curren epsiode is 253, reward:-4.94447298453769,unbalance:197.65811104582536,buffer_length: 36000
curren epsiode is 254, reward:-9.548138256356623,unbalance:382.7528747071049,buffer_length: 36000
curren epsiode is 255, reward:-7.813624824911021,unbalance:216.1003702654994,buffer_length: 36000
curren epsiode is 256, reward:-16.079078027501417,unbalance:1267.937370614194,buffer_length: 36000
curren epsiode is 257, reward:-2.8121250060984155,unbalance:0.0,buffer_length: 36000
curren epsiode is 258, reward:-14.457579931393267,unbalance:925.2358503218179,buffer_length: 36000
curren epsiode is 259, reward:-24.101988192650506,unbalance:1806.8455848305766,buffer_length: 36000
curren epsiode is 260, reward:-17.666101074676792,unbalance:1294.510020371537,buffer_length: 36000
curren epsiode is 261, reward:-12.88557096318626,unbalance:794.6644297396655,buffer_length: 37000
curren epsiode is 262, reward:-9.8490745934408,unbalance:573.445295624786,buffer_length: 37000
curren epsiode is 263, reward:-4.090475614603733,unbalance:63.55378564700828,buffer_length: 37000
curren epsiode is 264, reward:-8.159351721913781,unbalance:338.7239331976274,buffer_length: 37000
curren epsiode is 265, reward:-4.960614146633858,unbalance:68.98677368199924,buffer_length: 37000
curren epsiode is 266, reward:-25.33794520669172,unbalance:2030.5372720754108,buffer_length: 37000
curren epsiode is 267, reward:-4.949893068968158,unbalance:158.59410435623374,buffer_length: 37000
curren epsiode is 268, reward:-6.964140121115071,unbalance:183.2375087999402,buffer_length: 37000
curren epsiode is 269, reward:-9.063308272562791,unbalance:577.8020966701511,buffer_length: 37000
curren epsiode is 270, reward:-7.479859704751439,unbalance:303.18388508750263,buffer_length: 37000
curren epsiode is 271, reward:-6.109548431608237,unbalance:207.20063960316247,buffer_length: 38000
curren epsiode is 272, reward:-12.093988778019737,unbalance:683.0539908630348,buffer_length: 38000
curren epsiode is 273, reward:-23.17867797049384,unbalance:1812.1498509447867,buffer_length: 38000
curren epsiode is 274, reward:-10.561942982302154,unbalance:568.2710563911133,buffer_length: 38000
curren epsiode is 275, reward:-10.7889782653122,unbalance:487.31481856602994,buffer_length: 38000
curren epsiode is 276, reward:-9.325417102321241,unbalance:586.4946287028793,buffer_length: 38000
curren epsiode is 277, reward:-5.648909688236631,unbalance:138.8702375449717,buffer_length: 38000
curren epsiode is 278, reward:-4.6138286132397255,unbalance:26.593026708857145,buffer_length: 38000
curren epsiode is 279, reward:-3.6835910551722932,unbalance:87.71936444130279,buffer_length: 38000
