buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 209, reward:-18.236402434729513,unbalance:894.0616600883238,buffer_length: 31000
curren epsiode is 210, reward:-4.753127868878879,unbalance:74.66713563432631,buffer_length: 31000
curren epsiode is 211, reward:-14.249536435446565,unbalance:801.8124046560702,buffer_length: 32000
curren epsiode is 212, reward:-7.561753591960703,unbalance:70.6886856738243,buffer_length: 32000
curren epsiode is 213, reward:-21.233061381652234,unbalance:1199.2869426461286,buffer_length: 32000
curren epsiode is 214, reward:-2.681423748149613,unbalance:24.344212796958026,buffer_length: 32000
curren epsiode is 215, reward:-22.231573497247773,unbalance:1061.906693652582,buffer_length: 32000
curren epsiode is 216, reward:-9.21203387199462,unbalance:304.70719982828916,buffer_length: 32000
curren epsiode is 217, reward:-15.599231975750298,unbalance:803.4426687064229,buffer_length: 32000
curren epsiode is 218, reward:-2.804232526652529,unbalance:0.0,buffer_length: 32000
curren epsiode is 219, reward:-5.206949966261885,unbalance:69.51998774741867,buffer_length: 32000
curren epsiode is 220, reward:-2.223566047564994,unbalance:73.62307020536781,buffer_length: 32000
curren epsiode is 221, reward:-21.211319236271198,unbalance:1166.5247289296517,buffer_length: 33000
curren epsiode is 222, reward:-17.693137584852032,unbalance:955.2655911043562,buffer_length: 33000
curren epsiode is 223, reward:-17.849984971547023,unbalance:938.9452374278661,buffer_length: 33000
curren epsiode is 224, reward:-14.658373363972984,unbalance:818.4869159027899,buffer_length: 33000
curren epsiode is 225, reward:-1.7279475448405899,unbalance:0.0,buffer_length: 33000
curren epsiode is 226, reward:-17.834208470288928,unbalance:803.3974589185677,buffer_length: 33000
curren epsiode is 227, reward:-6.172596970347882,unbalance:50.59324547451547,buffer_length: 33000
curren epsiode is 228, reward:-4.860584299085544,unbalance:20.122167520855385,buffer_length: 33000
