buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
D:\UCB\Capstone\RL-for-Cost-Savings-DRL\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\MIP_DQN.py:185: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  states = torch.as_tensor((state,), dtype=torch.float32, device=self.device)
curren epsiode is 191, reward:-2.903160920863835,unbalance:37.802114113075646,buffer_length: 30000
curren epsiode is 192, reward:-2.3885363468701177,unbalance:0.0,buffer_length: 30000
curren epsiode is 193, reward:-6.224418984342514,unbalance:79.64007494620822,buffer_length: 30000
curren epsiode is 194, reward:-6.582609402990789,unbalance:127.93615955299828,buffer_length: 30000
curren epsiode is 195, reward:-11.371255934794458,unbalance:328.9813266668016,buffer_length: 30000
curren epsiode is 196, reward:-9.007432181471154,unbalance:204.3439386267084,buffer_length: 30000
curren epsiode is 197, reward:-6.223772954799236,unbalance:187.799756911423,buffer_length: 30000
curren epsiode is 198, reward:-16.706836545767896,unbalance:1195.4942191776213,buffer_length: 30000
curren epsiode is 199, reward:-6.420905030733257,unbalance:117.62253569493495,buffer_length: 30000
curren epsiode is 200, reward:-4.478346032878645,unbalance:65.22640737962791,buffer_length: 30000
curren epsiode is 201, reward:-5.202562394594784,unbalance:13.411985147708265,buffer_length: 31000
curren epsiode is 202, reward:-6.330987184093816,unbalance:15.50596077227118,buffer_length: 31000
curren epsiode is 203, reward:-4.68298211298546,unbalance:45.25048627679557,buffer_length: 31000
curren epsiode is 204, reward:-4.289097247409532,unbalance:28.392027012755577,buffer_length: 31000
curren epsiode is 205, reward:-7.5131993144247025,unbalance:174.06344186876694,buffer_length: 31000
curren epsiode is 206, reward:-1.9667406008893233,unbalance:6.6905004112923905,buffer_length: 31000
curren epsiode is 207, reward:-4.135962454397085,unbalance:58.93707713131599,buffer_length: 31000
curren epsiode is 208, reward:-5.168729292854266,unbalance:8.881675342581119,buffer_length: 31000
curren epsiode is 209, reward:-8.590172854916002,unbalance:52.637007557806385,buffer_length: 31000
curren epsiode is 210, reward:-5.650003354673898,unbalance:116.90504275032282,buffer_length: 31000
curren epsiode is 211, reward:-5.445010994254189,unbalance:179.95422762931082,buffer_length: 32000
curren epsiode is 212, reward:-4.130955916023036,unbalance:19.207218240238525,buffer_length: 32000
curren epsiode is 213, reward:-5.543743237036187,unbalance:46.28176958797283,buffer_length: 32000
curren epsiode is 214, reward:-7.490719888689099,unbalance:255.42198903811328,buffer_length: 32000
curren epsiode is 215, reward:-8.564518176379002,unbalance:100.82444154829942,buffer_length: 32000
curren epsiode is 216, reward:-16.1291741999392,unbalance:1287.467921703559,buffer_length: 32000
curren epsiode is 217, reward:-1.8353834782766325,unbalance:0.4981434313793329,buffer_length: 32000
curren epsiode is 218, reward:-3.630668374599026,unbalance:11.488974633239067,buffer_length: 32000
curren epsiode is 219, reward:-13.92296427191631,unbalance:863.4192205195184,buffer_length: 32000
curren epsiode is 220, reward:-6.812083903250371,unbalance:25.31202767354884,buffer_length: 32000
curren epsiode is 221, reward:-13.577834477897106,unbalance:990.9368691812922,buffer_length: 33000
curren epsiode is 222, reward:-8.464457384208828,unbalance:222.94304794259108,buffer_length: 33000
curren epsiode is 223, reward:-4.057073528596717,unbalance:36.83629632006088,buffer_length: 33000
curren epsiode is 224, reward:-3.7781212112242515,unbalance:34.18236454588917,buffer_length: 33000
curren epsiode is 225, reward:-7.625203938439223,unbalance:382.3621578267454,buffer_length: 33000
curren epsiode is 226, reward:-2.8687673232352227,unbalance:10.410987525313004,buffer_length: 33000
curren epsiode is 227, reward:-3.091064012123177,unbalance:15.045564397079858,buffer_length: 33000
curren epsiode is 228, reward:-2.1498279852736726,unbalance:0.0,buffer_length: 33000
curren epsiode is 229, reward:-3.7774897400244223,unbalance:19.90181150642204,buffer_length: 33000
curren epsiode is 230, reward:-8.495609628669715,unbalance:159.81885552467915,buffer_length: 33000
curren epsiode is 231, reward:-0.8132665688739991,unbalance:12.595112804032361,buffer_length: 34000
curren epsiode is 232, reward:-6.103725485798784,unbalance:79.78831234165767,buffer_length: 34000
curren epsiode is 233, reward:-9.54332718859576,unbalance:439.4780922980221,buffer_length: 34000
curren epsiode is 234, reward:-18.28031027408384,unbalance:1193.4551079077344,buffer_length: 34000
curren epsiode is 235, reward:-6.36218804796439,unbalance:340.5402537525059,buffer_length: 34000
curren epsiode is 236, reward:-20.35530871634984,unbalance:1412.7360087366321,buffer_length: 34000
curren epsiode is 237, reward:-13.237318469450468,unbalance:360.39685032361706,buffer_length: 34000
curren epsiode is 238, reward:-3.072161990983224,unbalance:124.9360968842069,buffer_length: 34000
curren epsiode is 239, reward:-7.002940631376568,unbalance:38.56974733990373,buffer_length: 34000
curren epsiode is 240, reward:-4.736894634935466,unbalance:37.07102253775338,buffer_length: 34000
curren epsiode is 241, reward:-2.293031033206101,unbalance:2.443798277053588,buffer_length: 35000
curren epsiode is 242, reward:-8.221820248289273,unbalance:138.43672984016416,buffer_length: 35000
curren epsiode is 243, reward:-8.808751649826165,unbalance:196.9214786693984,buffer_length: 35000
curren epsiode is 244, reward:-20.322529227214577,unbalance:856.4081742965627,buffer_length: 35000
curren epsiode is 245, reward:-6.872175310143654,unbalance:145.00088671479745,buffer_length: 35000
curren epsiode is 246, reward:-5.2670564209583866,unbalance:55.75347725868929,buffer_length: 35000
curren epsiode is 247, reward:-6.800838560468401,unbalance:161.60871280693493,buffer_length: 35000
curren epsiode is 248, reward:-3.3526418271133203,unbalance:1.61682505289696,buffer_length: 35000
curren epsiode is 249, reward:-20.68097355056288,unbalance:1460.6573197376638,buffer_length: 35000
curren epsiode is 250, reward:-14.49103170247335,unbalance:905.2608946775865,buffer_length: 35000
curren epsiode is 251, reward:-2.223218610417389,unbalance:45.430676298596296,buffer_length: 36000
curren epsiode is 252, reward:-5.10743637517263,unbalance:64.36557740929419,buffer_length: 36000
curren epsiode is 253, reward:-3.8385863739830395,unbalance:1.5639877322751374,buffer_length: 36000
curren epsiode is 254, reward:-18.249647071607956,unbalance:967.2283398280404,buffer_length: 36000
curren epsiode is 255, reward:-7.134219501777243,unbalance:65.88838212235638,buffer_length: 36000
curren epsiode is 256, reward:-3.060122399115717,unbalance:3.6627663591407504,buffer_length: 36000
curren epsiode is 257, reward:-6.992475781340237,unbalance:162.86830273767606,buffer_length: 36000
curren epsiode is 258, reward:-5.273476595834569,unbalance:4.463076233846664,buffer_length: 36000
curren epsiode is 259, reward:-7.786231977627475,unbalance:281.67744999921587,buffer_length: 36000
curren epsiode is 260, reward:-3.436199251844435,unbalance:7.059233443223512,buffer_length: 36000
curren epsiode is 261, reward:-4.517461448919669,unbalance:23.812751556492444,buffer_length: 37000
curren epsiode is 262, reward:-1.772202206859104,unbalance:0.0,buffer_length: 37000
curren epsiode is 263, reward:-18.467584913419465,unbalance:1190.9587639522736,buffer_length: 37000
curren epsiode is 264, reward:-1.0890105898743685,unbalance:25.845471511055685,buffer_length: 37000
curren epsiode is 265, reward:-7.011049560227428,unbalance:341.68245519503336,buffer_length: 37000
curren epsiode is 266, reward:-17.050483666750647,unbalance:1175.6474938036436,buffer_length: 37000
curren epsiode is 267, reward:-7.419890737098135,unbalance:201.12188981841518,buffer_length: 37000
curren epsiode is 268, reward:-3.2187984600234305,unbalance:10.163203283538696,buffer_length: 37000
curren epsiode is 269, reward:-5.671424617337489,unbalance:54.93180929963273,buffer_length: 37000
curren epsiode is 270, reward:-22.733721888488,unbalance:1556.2730549943683,buffer_length: 37000
curren epsiode is 271, reward:-7.140742628725087,unbalance:150.70495298972284,buffer_length: 38000
curren epsiode is 272, reward:-11.410543891128253,unbalance:310.8694975036718,buffer_length: 38000
curren epsiode is 273, reward:-3.487966774753853,unbalance:21.13693631246678,buffer_length: 38000
curren epsiode is 274, reward:-6.716956900403093,unbalance:133.09664740049084,buffer_length: 38000
curren epsiode is 275, reward:-4.432914679747631,unbalance:168.51582802779035,buffer_length: 38000
curren epsiode is 276, reward:-7.121001980199512,unbalance:94.63558142039628,buffer_length: 38000
